ID	WORD	TRANSLATE	TYPE	COUNT
47	to agree	соглашаться 	VERB	0
48	agreement	согласие, соглашение 	OTHER	0
49	ahead	"вперед; впереди "	OTHER	0
50	an aim	намерение, цель 	NOUN	0
51	to aim	домогаться, стремиться 	VERB	0
52	an air	воздух, атмосфера 	NOUN	0
53	alive	живой 	OTHER	0
54	all	весь, вся, все, целый 	OTHER	0
55	to allow	позволять, разрешать 	VERB	0
56	almost	"почти; едва не "	OTHER	0
57	alone	единственный, одинокий, одиноко 	OTHER	0
58	along	вдоль, по  	OTHER	0
59	along	в том же направлении 	OTHER	0
60	already	уже 	OTHER	0
61	also	тоже, также, к тому же 	OTHER	0
62	although	хотя, несмотря на то, что 	OTHER	0
63	always	всегда, неизменно 	OTHER	0
64	among	между, посреди, среди 	OTHER	0
65	an amount	величина, количество 	NOUN	0
66	and	и, а, но 	OTHER	0
67	angry	рассерженный, сердитый, 	OTHER	0
68	to anNOUNce	объявлять, извещать 	VERB	0
69	another	другой, еще один (такой же) 	OTHER	0
70	an answer	ответ 	NOUN	0
71	to answer	отвечать, откликаться 	VERB	0
72	anxious	озабоченный, беспокойный 	OTHER	0
73	any	всякий, какой-нибудь, любой, никакой 	OTHER	0
74	any	нисколько, сколько-нибудь, ничуть 	OTHER	0
75	anybody 	кто-нибудь, никто, любой 	OTHER	0
76	anyone	кто-нибудь, никто, любой 	OTHER	0
77	anything	что-нибудь, ничто, ничего 	OTHER	0
78	anyway = anyhow	так или иначе, как-нибудь, все равно 	OTHER	0
79	anywhere	где-нибудь, куда-нибудь, никуда, везде 	OTHER	0
80	apart	в стороне, отдельно, отлично от 	OTHER	0
81	to apologize = apologise	извиняться, просить прощения 	VERB	0
82	apparently	очевидно, по-видимому 	OTHER	0
83	an appeal	призыв, обращение, привлекательность 	NOUN	0
84	to appeal	обращаться, взывать (to - к)  	VERB	0
85	to appear	показываться, появляться 	VERB	0
86	an appearance	внешность, появление 	NOUN	0
87	to apply	обращаться(с просьбой), применять(ся) 	VERB	0
88	an approval	одобрение, утверждение 	NOUN	0
89	to approve	одобрять (что-л. - of), утверждать 	VERB	0
90	an area	площадь, участок, пространство 	NOUN	0
91	to argue	спорить 	VERB	0
92	an argument	довод, аргумент 	NOUN	0
93	an arm	рука (от кисти до плеча) 	NOUN	0
94	around	всюду, кругом, повсюду, вокруг 	OTHER	0
95	to arrange	приводить в порядок, расставлять 	VERB	0
96	an arrangement	размещение, расположение 	NOUN	0
97	an arrival	"прибытие (at, in; from) "	NOUN	0
98	to arrive	прибывать 	VERB	0
99	an art	искусство 	NOUN	0
100	artificial	искусственный, ненатуральный 	OTHER	0
101	as	в качестве, как, как например, т.к. 	OTHER	0
102	ashamed	пристыженный 	OTHER	0
103	to ask	спрашивать, просить 	VERB	0
104	at	в, на, за, при, у, около 	OTHER	0
105	to attach	прикреплять, прилагать 	VERB	0
106	an attempt	попытка, проба, опыт 	NOUN	0
107	to attempt	пытаться, стараться, стремиться 	VERB	0
108	an attention	внимание, внимательность 	NOUN	0
109	an attitude	позиция, отношение 	NOUN	0
110	to attract	привлекать, притягивать 	VERB	0
111	attractive	заманчивый, привлекательный 	OTHER	0
112	an authority	власть, полномочие, авторитет 	NOUN	0
113	an autumn	осень 	NOUN	0
114	available	доступный, (при)годный, полезный 	OTHER	0
115	average	среднее, средний 	OTHER	0
116	to avoid	избегать, остерегаться, уклоняться 	VERB	0
117	awake	не спящий, проснувшийся 	OTHER	0
118	aware	знающий, осведомленный 	OTHER	0
119	away	прочь, вдали 	OTHER	0
120	a back	спина, спинка, зад, задняя часть 	NOUN	0
121	back	назад, обратно, сзади, позади 	OTHER	0
122	to back	поддерживать, подкреплять 	VERB	0
123	backwards	назад, обратно 	OTHER	0
124	bad	плохой 	OTHER	0
125	badly	плохо 	OTHER	0
126	a bag	сумка 	NOUN	0
127	a balance	весы, равновесие, баланс 	NOUN	0
128	a ball	шар, мяч 	NOUN	0
129	a band	оркестр, лента, полоса 	NOUN	0
130	a bang	удар, стук 	NOUN	0
131	to bang	ударять, хлопать 	VERB	0
132	a bank	банк, берег 	NOUN	0
133	a bar	бар, брусок, барьер 	NOUN	0
134	a base	база, базис, основа, основание 	NOUN	0
135	to base	базировать, основывать 	VERB	0
136	basic	составляющий основу, основной 	OTHER	0
137	basically	"в своей основе; по существу "	OTHER	0
138	a basis	базис, основа, основание 	NOUN	0
139	a bath	ванна 	NOUN	0
140	an battery	батарея, аккамулятор 	NOUN	0
141	to be	быть 	VERB	0
142	to bear	терпеть, выносить 	VERB	0
143	to beat	бить, колотить 	VERB	0
144	beautiful	красивый 	OTHER	0
145	because	потому что, так как 	OTHER	0
146	to become	становиться 	VERB	0
147	before	перед, до, раньше 	OTHER	0
148	before	впереди, вперед, прежде 	OTHER	0
149	before	прежде чем, до того как 	OTHER	0
150	to begin	начинать (ся) 	VERB	0
151	a beginning	начало 	NOUN	0
152	to behave	вести себя, поступать 	VERB	0
153	a behaviour	поведение 	NOUN	0
154	behind	сзади, позади, после, за 	OTHER	0
155	behind	задний 	OTHER	0
156	a belief	вера, доверие 	NOUN	0
157	to believe	верить, полагать 	VERB	0
158	to belong	принадлежать, соответствовать 	VERB	0
159	below	ниже, внизу, под 	OTHER	0
160	to bend	сгибать (ся), гнуть (ся) 	VERB	0
161	beneath	под, ниже, внизу 	OTHER	0
162	a benefit	выгода, прибыль 	NOUN	0
163	beside	рядом с, возле, около 	OTHER	0
164	best	лучший, наилучший 	OTHER	0
165	best	лучше всего, больше всего 	OTHER	0
166	a bet	пари 	NOUN	0
167	to bet	держать пари 	VERB	0
168	better	лучший, наилучший 	OTHER	0
169	better	лучше 	OTHER	0
170	between	между 	OTHER	0
171	beyond	за, по ту сторону, за пределами 	OTHER	0
172	big	большой 	OTHER	0
173	a bill	счет 	NOUN	0
174	a bin	ящик 	NOUN	0
175	a birth	рождение 	NOUN	0
176	a birthday	день рождения 	NOUN	0
177	a bit	кусочек 	NOUN	0
178	a bite	укус 	NOUN	0
179	to bite	кусать (ся) 	VERB	0
180	black	черный 	OTHER	0
181	a black	черный цвет 	NOUN	0
182	a blame	упрек, осуждение 	NOUN	0
183	to blame	осуждать 	VERB	0
184	blind	слепой, ослепленный 	OTHER	0
185	a block	блок, квартал 	NOUN	0
186	to block	заграждать, блокировать 	VERB	0
187	to blow	веять, дуть 	VERB	0
188	blue	голубой, синий 	OTHER	0
189	a board	доска 	NOUN	0
190	a boat	лодка, судно 	NOUN	0
191	a body	тело 	NOUN	0
192	to boil	варить (ся), кипятить (ся) 	VERB	0
193	a book	книга 	NOUN	0
194	to book	вносить в книгу, регистрировать 	VERB	0
195	a border	граница 	NOUN	0
196	bored	скучающий 	OTHER	0
197	boring	скучный 	OTHER	0
198	born	родившийся 	OTHER	0
199	to borrow	одалживать, занимать 	VERB	0
200	both	оба, обе 	OTHER	0
201	to bother	беспокоить(ся), надоедать 	VERB	0
202	bottom	дно, низ 	OTHER	0
203	bottom	нижний 	OTHER	0
204	bound	связанный 	OTHER	0
205	a brain	мозг, интеллект 	NOUN	0
206	a branch	ветвь, отрасль 	NOUN	0
207	brave	смелый, храбрый 	OTHER	0
208	a bread	хлеб 	NOUN	0
209	a break	перерыв, разрыв 	NOUN	0
210	to break	ломать, разрушать 	VERB	0
211	to break down	разрушать, разбивать на кусочки 	VERB	0
212	to break in	вламываться, врываться 	VERB	0
213	to break into	вламываться, внезапно начинать 	VERB	0
214	to break out	выламывать, вспыхивать 	VERB	0
215	to break through	прорваться, пробиться 	VERB	0
216	to break up	крошиться на мелкие части 	VERB	0
217	a breakfast	завтрак 	NOUN	0
218	a breath	дыхание, вздох 	NOUN	0
219	to breathe	дышать 	VERB	0
220	a bridge	мост 	NOUN	0
221	brief	короткий, недолгий 	OTHER	0
222	bright	яркий 	OTHER	0
223	to bring	приносить, привозить 	VERB	0
224	to bring back	приносить обратно, возвращать 	VERB	0
225	to bring down	свалить, снизить (цену) 	VERB	0
226	to bring forward	выдвигать (предложение) 	VERB	0
227	to bring up	приводить, приносить наверх 	VERB	0
228	broad	широкий 	OTHER	0
229	broken	разбитый, сломанный 	OTHER	0
230	a brother	брат 	NOUN	0
231	brown	коричневый, бурый 	OTHER	0
232	a brush	щетка 	NOUN	0
233	to brush	чистить щеткой, причесывать 	VERB	0
234	to build	строить 	VERB	0
235	a building	здание, сооружение 	NOUN	0
236	a bunch	связка, пучек 	NOUN	0
237	to burn	гореть, пылать 	VERB	0
238	to burst	лопаться, взрываться 	VERB	0
239	to bury	хоронить, закапывать 	VERB	0
240	a bus	автобус 	NOUN	0
241	a bush	куст 	NOUN	0
242	a business	дело, занятие 	NOUN	0
243	busy	занятой, деятельный 	OTHER	0
244	but	а, но, однако  	OTHER	0
245	but	кроме, за исключением, исключая 	OTHER	0
246	a butter	масло 	NOUN	0
247	to buy	покупать 	VERB	0
248	by	у, при, около, возле, рядом с 	OTHER	0
249	by	близко, возле, около, рядом 	OTHER	0
250	bye	до свидания 	OTHER	0
251	a call	тефонный звонок, вызов, крик 	NOUN	0
252	to call	кричать, называть 	VERB	0
253	to call at	останавливаться (где -л.) , заходить 	VERB	0
254	to call back	перезванивать кому-л. 	VERB	0
255	to call off	отменять, откладывать, переносить 	VERB	0
256	to call out	выкрикивать, вызывать 	VERB	0
257	to call up	вызывать, звонить (по телефону) 	VERB	0
258	calm	спокойный, мирный 	OTHER	0
259	calmly	спокойно, невозмутимо 	OTHER	0
260	can	мочь, быть в состоянии 	OTHER	0
261	a cap	кепка 	NOUN	0
262	a capital	столица 	NOUN	0
263	a car	автомобиль, машина 	NOUN	0
264	a card	карточка 	NOUN	0
265	a care	забота, уход 	NOUN	0
266	to care	заботиться (for, of, about) 	VERB	0
267	careful	осторожный, внимательный 	OTHER	0
268	careless	беззаботный, небрежный 	OTHER	0
269	to carry	носить 	VERB	0
270	a case	случай, чехол 	NOUN	0
271	to catch	ловить, поймать 	VERB	0
272	a cause	причина, основание 	NOUN	0
273	to cause	послужить причиной/поводом для ч-л. 	VERB	0
274	a centimetre	сантиметр 	NOUN	0
275	central	центральный 	OTHER	0
276	a centre	центр 	NOUN	0
277	a century	столетие, век 	NOUN	0
278	certain	определенный, уверенный 	OTHER	0
279	certainly	конечно, естественно 	OTHER	0
280	a challenge	(сложная) проблема 	NOUN	0
281	a chance	возможность, случай 	NOUN	0
282	a change	перемена, изменение 	NOUN	0
283	to change	менять (ся), изменять (ся) 	VERB	0
284	a character	характер, действующее лицо 	NOUN	0
285	a characteristic	характерная черта, особенность 	NOUN	0
286	a charge	плата, цена 	NOUN	0
287	to charge	назначать, запрашивать цену 	VERB	0
288	to chase	гнаться, преследовать 	VERB	0
289	to chat	непринужденно болтать, беседовать 	VERB	0
290	cheap	дешевый 	OTHER	0
291	to cheat	обманывать, надувать 	VERB	0
292	a check	контроль, проверка 	NOUN	0
293	to check	проверять, сверять 	VERB	0
294	a cheek	щека 	NOUN	0
295	a cheque	чек 	NOUN	0
296	a chief	главный, основной 	NOUN	0
297	a child	ребенок 	NOUN	0
298	a children	дети 	NOUN	0
299	a chin	подбородок 	NOUN	0
300	a choice	выбор, отбор 	NOUN	0
301	to choose	выбирать 	VERB	0
302	a church	церковь 	NOUN	0
303	a cinema	кинотеатр 	NOUN	0
304	a circle	круг, окружность 	NOUN	0
305	a circumstance	обстоятельство, случай 	NOUN	0
306	a city	город 	NOUN	0
307	a claim	требование, претензия 	NOUN	0
308	to claim	требовать, предъявлять требования 	VERB	0
309	a class	класс, группа 	NOUN	0
310	a classroom	классная комната, аудитория 	NOUN	0
311	clean	чистый 	OTHER	0
312	to clean	чистить 	VERB	0
313	clear	чистый, ясный 	OTHER	0
314	to clear	очищать, осветлять 	VERB	0
315	clearly	ясно, очевидно 	OTHER	0
316	clever	умный 	OTHER	0
317	to climb	карапкаться, лазить 	VERB	0
318	to close	закрывать (ся) 	VERB	0
319	close	близкий 	OTHER	0
320	closed	закрытый, запертый 	OTHER	0
321	closely	близко, вплотную 	OTHER	0
322	a clothes	одежда 	NOUN	0
323	a club	клуб 	NOUN	0
324	a clue	ключ (к разгадке), улика 	NOUN	0
325	a coat	пальто 	NOUN	0
326	a coffee	кофе 	NOUN	0
327	cold	холодный 	OTHER	0
328	to collect	собирать, коллекционировать 	VERB	0
329	a collection	коллекция 	NOUN	0
330	a colour	цвет, оттенок 	NOUN	0
331	a combination	сочетание, комбинация 	NOUN	0
332	to combine	соединяться, объединять(ся) 	VERB	0
333	to come	приходить, подходить 	VERB	0
334	to come back	возвращаться 	VERB	0
335	to come down	спускаться, опускаться 	VERB	0
336	to come from	приходить откуда-л. 	VERB	0
337	to come in	входить 	VERB	0
338	to come off	отрываться, отделываться 	VERB	0
339	to come out	выходить 	VERB	0
340	to come over	приезжать, приходить 	VERB	0
341	to come round	заходить ненадолго, заглянуть 	VERB	0
342	to come up	подниматься, возникать 	VERB	0
343	a comfort	комфорт 	NOUN	0
344	comfortable	комфортный, удобный 	OTHER	0
345	a command	команда, распоряжение 	NOUN	0
346	a comment	комментарий, замечание 	NOUN	0
347	to comment	комментировать 	VERB	0
348	to commit	совершать (преступление) 	VERB	0
349	common	общее, распространенное 	OTHER	0
350	common	общий, всеобщий 	OTHER	0
351	to communicate	сообщать, передавать 	VERB	0
352	a communication	коммуникация, связь 	NOUN	0
353	a community	сообщество 	NOUN	0
354	a company	компания 	NOUN	0
355	to compare	сравнивать, сверять 	VERB	0
356	to compete	состязаться, соперничать 	VERB	0
357	to complain	жаловаться, выражать недовольство 	VERB	0
358	a complaint	жалоба, недовольство 	NOUN	0
359	complete	полный, укомплектованный 	OTHER	0
360	to complete	завершать, укомплектовывать 	VERB	0
361	completely	вполне, полностью 	OTHER	0
362	complicated	запутанный, трудный для понимания 	OTHER	0
363	a computer	компьютер 	NOUN	0
364	to concentrate	сосредоточивать (ся) 	VERB	0
365	a concentration	концентрация, сосредоточенность 	NOUN	0
366	a concern	отношение, беспокойство 	NOUN	0
367	concerned	заинтересованный, беспокоящийся 	OTHER	0
368	concerning	касательно, относительно 	OTHER	0
369	a conclusion	умозаключение, вывод 	NOUN	0
370	a condition	условие 	NOUN	0
371	to conduct	сопровождать, сопутствовать 	VERB	0
372	a confidence	вера, уверенность 	NOUN	0
373	confident	уверенный 	OTHER	0
374	to confuse	смешивать, спутывать 	VERB	0
375	confused	"смущенный; озадаченный "	OTHER	0
376	confusing	сбивающий с толку 	OTHER	0
377	to congratulate	поздравлять 	VERB	0
378	a congratulations	поздравление 	NOUN	0
379	to connect	соединять (ся), сочетать (ся) 	VERB	0
380	connected	связанный с кем-л., чем-л. 	OTHER	0
381	a connection	связь, соединение 	NOUN	0
382	to consider	рассматривать, считать 	VERB	0
383	to considering	учитывая, принимая во внимание 	VERB	0
384	to consist	состоять, составлять из (of) 	VERB	0
385	constantly	непрерывно, регулярно 	OTHER	0
386	to consult	советоваться, консультироваться 	VERB	0
387	a contact	контакт, соприкосновение 	NOUN	0
388	to contact	связываться, общаться 	VERB	0
389	to contain	содержать, вмещать 	VERB	0
390	a container	контейнер, емкость 	NOUN	0
391	a content	содержимое, содержание 	NOUN	0
392	content	довольный 	OTHER	0
393	a contents	содержимое 	NOUN	0
394	continue	продолжать (ся), оставаться 	OTHER	0
395	a contrast	различие, контраст 	NOUN	0
396	to contrast	сопоставлять, сравнивать (with) 	VERB	0
397	to contribute	способствовать, вносить вклад 	VERB	0
398	a control	надзор, контроль 	NOUN	0
399	to control	управлять, контролировать 	VERB	0
400	convenient	удобный, близкий 	OTHER	0
401	a conversation	разговор, беседа 	NOUN	0
402	to convince	убеждать, уверять 	VERB	0
403	convinced	убежденный, уверенный 	OTHER	0
404	convincing	убедительный 	OTHER	0
405	to cook	готовить 	VERB	0
406	cool	прохладный, свежий 	OTHER	0
407	to cope	справиться, выдержать 	VERB	0
408	a copy	копия 	NOUN	0
409	to copy	копировать 	VERB	0
410	a corner	угол 	NOUN	0
411	correct	правильный, соответствующий 	OTHER	0
412	to correct	исправлять, корректировать 	VERB	0
413	a correction	исправление, корректирование 	NOUN	0
414	a cost	цена, стоимость, расходы 	NOUN	0
415	to cost	стоить 	VERB	0
416	to cough	кашлять 	VERB	0
417	could	прош. вр. от can 	OTHER	0
418	to count	считать, подсчитывать 	VERB	0
419	a country	страна, деревня 	NOUN	0
420	couple	пара, два, двое 	OTHER	0
421	a course	курс, блюдо 	NOUN	0
422	a cover	крышка, обложка 	NOUN	0
423	to cover	накрывать, покрывать 	VERB	0
424	a crash	грохот, авария, крушение 	NOUN	0
425	to crash	рушиться, грохотать 	VERB	0
426	crazy	ненормальный, псих 	OTHER	0
427	to create	создавать, порождать 	VERB	0
428	a creature	создание, творение 	NOUN	0
429	a crime	преступление, нарушение 	NOUN	0
430	a crisis	кризис 	NOUN	0
431	a criticism	критика 	NOUN	0
432	to criticize	критиковать 	VERB	0
433	a cross	крест 	NOUN	0
434	to cross	перекрещивать, пересекать (ся) 	VERB	0
435	a crowd	толпа 	NOUN	0
436	crowded	переполненный, битком набитый 	OTHER	0
437	cruel	жестокий 	OTHER	0
438	a cruelty	жестокость 	NOUN	0
439	a cry	плач 	NOUN	0
440	to cry	плакать 	VERB	0
441	a culture	культура 	NOUN	0
442	curious	любопытный, любознательный 	OTHER	0
443	a custom	обычай, таможня 	NOUN	0
444	to cut	резать 	VERB	0
445	a cut	разрез, порез 	NOUN	0
446	a damage	вред, повреждение 	NOUN	0
447	to damage 	повреждать, портить 	VERB	0
448	damp	влажный, сырой 	OTHER	0
449	a dance	танец 	NOUN	0
450	to dance	танцевать 	VERB	0
451	a danger	опасность 	NOUN	0
452	dangerous	опасный 	OTHER	0
453	to dare	осмеливаться, сметь 	VERB	0
454	dark	темный 	OTHER	0
455	a date	дата 	NOUN	0
456	a day	день 	NOUN	0
457	dead	мертвый 	OTHER	0
458	deaf	глухой 	OTHER	0
459	a deal	сделка, соглашение 	NOUN	0
460	dear	дорогой, милый 	OTHER	0
461	a debt	долг 	NOUN	0
462	to decide	решать (ся), принимать решение 	VERB	0
463	a decision	решение 	NOUN	0
464	a declaration	декларация 	NOUN	0
465	to declare	заявлять, заявлять 	VERB	0
466	deep	глубокий 	OTHER	0
467	deep	глубоко 	OTHER	0
468	to defeat	одержать победу 	VERB	0
469	to defend	защищать (ся) 	VERB	0
470	definite	ясный, точный 	OTHER	0
471	a degree	степень, градус 	NOUN	0
472	deliberate	намеренный, предумышленный  	OTHER	0
473	deliberately	сознательно,обдуманно 	OTHER	0
474	delicate	нежный 	OTHER	0
475	delight	удовлетворение, удовольствие 	OTHER	0
476	to deliver	доставлять, разносить 	VERB	0
477	to demand	требовать 	VERB	0
478	to demonstrate	показывать, демонстрировать 	VERB	0
479	to depend	зависеть, находиться в зависимости 	VERB	0
480	to describe	описывать 	VERB	0
481	a description	описание 	NOUN	0
482	to deserve	заслуживать 	VERB	0
483	a design	проект, намерение, дизайн 	NOUN	0
484	to design	разрабатывать, проектировать 	VERB	0
485	desperate	"безнадежный; бесперспективный "	OTHER	0
486	to destroy	разрушать, ликвидировать 	VERB	0
487	a detail	деталь 	NOUN	0
488	determined	решительный 	OTHER	0
489	to develop	развивать (ся) 	VERB	0
490	a development	развитие 	NOUN	0
491	to die	умереть, скончаться 	VERB	0
492	a difference	разница, отличие 	NOUN	0
493	different	различный, разный 	OTHER	0
494	difficult	трудный, сложный 	OTHER	0
495	a difficulty	трудность 	NOUN	0
496	to dig	копать, рыть 	VERB	0
497	a dinner	обед 	NOUN	0
498	direct	прямой 	OTHER	0
499	to direct	руководить, направлять 	VERB	0
500	a direction	направление 	NOUN	0
501	to disagree	не совпадать, противоречить 	VERB	0
502	to disappear	исчезать 	VERB	0
503	disappointed	разочарованный 	OTHER	0
504	to disapprove	осуждать, не одобрять 	VERB	0
505	to discover	обнаруживать, открывать 	VERB	0
506	a discovery	открытие 	NOUN	0
507	to discuss	обсуждать 	VERB	0
508	a discussion	дискуссия 	NOUN	0
509	disgusting	противный 	OTHER	0
510	a dish	блюдо 	NOUN	0
511	a display	показ, выставка 	NOUN	0
512	a distance	расстояние, дистанция 	NOUN	0
513	distant	дальний, далекий 	OTHER	0
514	to disturb	беспокоить, волновать 	VERB	0
515	disturbing	беспокоящий, волнующий 	OTHER	0
516	to divide	отделять (ся), разъединять (ся) 	VERB	0
517	a division	деление, разделение 	NOUN	0
518	to do	делать 	VERB	0
519	a doctor	врач, доктор 	NOUN	0
520	a door	дверь 	NOUN	0
521	a doubt	сомнение 	NOUN	0
522	to doubt	сомневаться 	VERB	0
523	down	вниз, внизу 	OTHER	0
524	downstairs	расположенный в нижнем этаже, вниз 	OTHER	0
525	to draw	рисовать 	VERB	0
526	a drawing	рисунок, рисование 	NOUN	0
527	a dream	сон, мечта 	NOUN	0
528	to dream	сниться, мечтать 	VERB	0
529	a dress	платье, одежда 	NOUN	0
530	to dress	одевать (ся), наряжать (ся) 	VERB	0
531	a drink	напиток, глоток 	NOUN	0
532	to drink	пить 	VERB	0
533	a drive	езда 	NOUN	0
534	to drive	везти, ездить, управлять (автомобил) 	VERB	0
535	a drop	капля, падение 	NOUN	0
536	to drop	ронять, падать 	VERB	0
537	dry	сухой 	OTHER	0
538	to dry	сушить (ся), сохнуть 	VERB	0
539	dull	скучный, тупой 	OTHER	0
540	during	в течение, во время 	OTHER	0
541	a duty	обязанность 	NOUN	0
542	each	каждый, всякий 	OTHER	0
543	eager	страстно желающий, жаждущий 	OTHER	0
544	a ear	ухо 	NOUN	0
545	early	ранний, рано 	OTHER	0
546	to earn	зарабатывать, заслуживать 	VERB	0
547	a earth	Земля, земля 	NOUN	0
548	easy	легкий 	OTHER	0
549	to eat	есть, кушать 	VERB	0
550	a edge	кромка, край 	NOUN	0
551	a education	образование, обучение 	NOUN	0
552	a effect	результат, следствие 	NOUN	0
553	a effort	усилие, попытка 	NOUN	0
554	either	любой (из двух), один из двух 	OTHER	0
555	either	один из двух, такой или другой 	OTHER	0
556	else	еще, кроме 	OTHER	0
557	embarrassed	смущенный, растерянный 	OTHER	0
558	embarrassing	стеснительный, смущающий 	OTHER	0
559	a emergency	непредвиденный случай 	NOUN	0
560	a emotion	чувство, эмоция 	NOUN	0
561	a emphasis	важность, значимость 	NOUN	0
562	to emphasize	подчеркивать, акцентировать 	VERB	0
563	empty	пустой 	OTHER	0
564	to encourage	поощрять, поддерживать 	VERB	0
565	a end	конец 	NOUN	0
566	to end	кончать, завершать 	VERB	0
567	a enemy	враг 	NOUN	0
568	a energy	энергия, сила 	NOUN	0
569	to enjoy	получать удовольствие, наслаждаться 	VERB	0
570	enjoyable	приятный 	OTHER	0
571	enough	достаточно, достаточный 	OTHER	0
572	to enter	входить, поступать 	VERB	0
573	a entertainment	развлечение 	NOUN	0
574	enthusiastic	восторженный, увлеченный 	OTHER	0
575	a entrance	вход 	NOUN	0
576	a entry	вход, проход 	NOUN	0
577	a environment	окружение, окружающая среда 	NOUN	0
578	equal	равный, одинаковый 	OTHER	0
579	to equal	равняться, соответствовать 	VERB	0
580	a equipment	оборудование, оснащение 	NOUN	0
581	an error	заблуждение, ошибка 	NOUN	0
582	to escape	убегать, избегать 	VERB	0
583	especially	особенно, в особенности 	OTHER	0
584	an estimate	оценка 	NOUN	0
585	to estimate	оценивать, исчислять 	VERB	0
586	even	даже 	OTHER	0
587	even	ровный, равномерный 	OTHER	0
588	an evening	вечер 	NOUN	0
589	an event	событие 	NOUN	0
590	ever	всегда, когда-либо 	OTHER	0
591	every	каждый, любой 	OTHER	0
592	everybody	каждый, всякий (человек), все 	OTHER	0
593	everyone	каждый, всякий (человек), все 	OTHER	0
594	everything	всё 	OTHER	0
595	everywhere	везде, всюду 	OTHER	0
596	an evidence	доказательство, основание 	NOUN	0
597	exact	точный 	OTHER	0
598	exactly	точно 	OTHER	0
599	to exaggerate	преувеличивать 	VERB	0
600	an exam	экзамен 	NOUN	0
601	an example	пример 	NOUN	0
602	excellent	отличный 	OTHER	0
603	except	исключая, кроме 	OTHER	0
604	exchange	обмен 	OTHER	0
605	to exchange	обменивать 	VERB	0
606	excited	взволнованный, напряженный 	OTHER	0
607	exciting	возбуждающий, волнующий 	OTHER	0
608	an excuse	извинение 	NOUN	0
609	to excuse	извиняться, просить прощения 	VERB	0
610	an exercise	упражнение, тренировка 	NOUN	0
611	an exhibition	выставка 	NOUN	0
612	to exist	существовать, иметься в природе 	VERB	0
613	an exit	выход 	NOUN	0
614	to expect	ожидать, надеяться 	VERB	0
615	expensive	дорогой 	OTHER	0
616	an experience	(жизненный) опыт, опыт работы 	NOUN	0
617	an experiment	опыт, эксперимент 	NOUN	0
618	to explain	объяснять, разъяснять 	VERB	0
619	an explanation	пояснение, разъяснение 	NOUN	0
620	an exploration	исследование, изучение 	NOUN	0
621	an expression	выражение, выражение (лица) 	NOUN	0
622	extra	добавочный, дополнительно 	OTHER	0
623	extraordinary	необычный, чрезвычайный 	OTHER	0
624	extremely	чрезвычайно, крайне 	OTHER	0
625	an eye	глаз 	NOUN	0
626	a face	лицо 	NOUN	0
627	to face	быть обращенным к, стоять лицом к 	VERB	0
628	a fact	обстоятельство, факт 	NOUN	0
629	a factory	завод, фабрика 	NOUN	0
630	to fail	потерпеть неудачу, не сбыться 	VERB	0
631	a failure	неспособность, несостоятельность 	NOUN	0
632	fair	честный, справедливый, светлый 	OTHER	0
633	fairly	должным образом, довольно 	OTHER	0
634	a fall	падение 	NOUN	0
635	to fall	падать 	VERB	0
636	false	неверный, ошибочный 	OTHER	0
637	familiar	хорошо знакомый, привычный 	OTHER	0
638	a family	семья 	NOUN	0
639	famous	знаменитый, известный 	OTHER	0
640	far	далеко 	OTHER	0
